StartDate,EndDate,relationship_status,relationship_length,sleeping_alone_frequency,"When you're not sleeping in the same bed as your partner, where do you typically sleep?",,"When you're not sleeping in the same bed, where does your partner typically sleep?",,What are the reasons that you sleep in separate beds? Please select all that apply.,,,,,,,,,,,When was the first time you slept in separate beds?,"To what extent do you agree with the following statement: ""sleeping in separate beds helps us to stay together.""","To what extent do you agree with the following statement: ""we sleep better when we sleep in separate beds.""","To what extent do you agree with the following statement:ë_""our sex life has improved as a result of sleeping in separate beds.""ë_",Which of the following best describes your current occupation?,,Gender,Age,income,Education,Location (Census Region)
7/9/14 21:32,7/9/14 21:34,Married,16-20 years,Once a month or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",,Separate bedroom,,,,One of us is sick,,,We've had an argument or fight,,,,Night working/very different sleeping times,,Within 16-20 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,Healthcare Practitioners and Technical Occupations,,Male,45-60,"$50,000 - $99,999",Graduate degree,New England
7/9/14 21:32,7/9/14 21:33,"Single, but cohabiting with a significant other",Less than 1 year,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Male,30-44,,Bachelor degree,Pacific
7/9/14 21:29,7/9/14 21:34,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),military,Male,30-44,"$100,000 - $149,999",Bachelor degree,South Atlantic
7/9/14 21:28,7/9/14 21:30,Married,1-5 years,Every night,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,We've had an argument or fight,,,,,Other (please specify),Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Neither agree nor disagree,Business and Financial Operations Occupations,,Male,18-29,"$150,000.00",Graduate degree,Middle Atlantic
7/9/14 21:27,7/9/14 21:27,Married,16-20 years,Never,,,,,,,,,,,,,,,,,,,,Other (please specify),retired,Male,30-44,"$25,000 - $49,999",High school degree,Pacific
7/9/14 21:26,7/9/14 21:30,Married,11-15 years,A few times per month,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,One of us makes frequent bathroom trips in the night,,We are no longer physically intimate,,,,Do not want to share the covers,,,,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Building and Grounds Cleaning and Maintenance Occupations,,Male,45-60,"$25,000 - $49,999",Some college or Associate degree,West North Central
7/9/14 21:26,7/9/14 21:29,Married,11-15 years,Once a year or less,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,One of us snores,,,,,,,,One of us needs to sleep with a child,,,Within 6-10 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,Business and Financial Operations Occupations,,Male,30-44,"$100,000 - $149,999",Bachelor degree,West North Central
7/9/14 21:26,7/9/14 21:26,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Production Occupations,,,,,,
7/9/14 21:26,7/9/14 21:26,Married,11-15 years,Never,,,,,,,,,,,,,,,,,,,,Production Occupations,,,,,,
7/9/14 21:26,7/9/14 21:28,Married,6-10 years,A few times per month,On the couch/chair,,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",,,,,,,,,,,Night working/very different sleeping times,,Immediately/ We've always slept in separate beds,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Business and Financial Operations Occupations,,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,West North Central
7/9/14 21:25,7/9/14 21:27,Married,More than 20 years,Never,,,,,,,,,,,,,,,,,,,,"Life, Physical, and Social Science Occupations",,Male,45-60,"$100,000 - $149,999",Bachelor degree,New England
